Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ribosome	44/158	2.510418025789559E-10	4.860371923014724E-8	0	0	3.491663335554075	77.18462044686605	RPL30;RPL3;MRPS16;RPL31;MRPS14;MRPL18;RPL12;RPLP0;RPL11;RPL36A;MRPL15;RPL10A;RPL8;MRPL12;RPL9;MRPL4;RPS4X;RPL7A;RPS15A;RPL18A;RPS19;RPS18;RPL14;RPL13;RPS11;RPS10;RPL17;RPL21;RPS5;RPS6;MRPL27;MRPS18A;MRPS2;RPL35A;RPS3A;MRPL30;MRPS9;RPL27A;RPL37A;RPL24;RPL27;RPL26;RPL28;RPS23
Parkinson disease	59/249	3.125641108048054E-10	4.860371923014724E-8	0	0	2.818660042964554	61.68978988417847	UBE2L6;COX7C;TXN2;PSMD9;UCHL1;UQCRFS1;SDHB;PSMA5;PSMA6;COX7A2L;PSMA3;PSMA4;PSMA1;VDAC3;PPIF;NDUFS3;VDAC2;VDAC1;UQCRC2;TP53;SLC25A6;NDUFB9;CAMK2D;NDUFB8;NDUFB7;UQCRB;NDUFB4;ITPR1;HTRA2;ITPR2;ITPR3;UBE2J2;COX5B;COX5A;PSMA7;UQCRH;UBE2J1;ATP5MC1;PSMB7;ATP5F1A;PSMB5;PSMB2;PSMB3;PSMB1;CYC1;CAMK2G;ATP5PF;NDUFA7;ATP5PD;ATP5PB;NDUFA4;UBE2G1;COX6C;PSMC4;UQCRQ;GNAS;BAX;CALM1;BCL2L1
Protein processing in endoplasmic reticulum	44/171	3.795023915450694E-9	3.9341747923505524E-7	0	0	3.1319685039370078	60.727538593987795	VCP;TRAM1;HSP90AB1;ATF6B;PRKCSH;UBE2D2;RPN1;SEL1L;CUL1;UBE2J2;UBE2J1;HERPUD1;DNAJB2;DNAJB1;LMAN1;HSPH1;BAG2;SSR1;MAN1A1;BAK1;SEC62;PDIA3;HSP90AA1;SSR4;FBXO2;EDEM1;EIF2AK1;HSPA6;SSR3;EIF2AK2;MOGS;UBE2G1;RAD23B;CKAP4;DNAJC3;DNAJC1;DNAJB11;CANX;DNAJA2;BAX;PREB;HYOU1;STT3B;CRYAB
Amyotrophic lateral sclerosis	73/364	7.622715462981244E-9	5.924086514820321E-7	0	0	2.2804201410594644	42.625916961961565	COX7C;GLE1;PSMD9;PPP3CC;ANXA7;UQCRFS1;RAC1;RAB8A;GABARAPL2;ANXA11;GPX7;SDHB;NUP93;PSMA5;PSMA6;COX7A2L;PSMA3;PSMA4;PSMA1;NDUFS3;ULK1;VDAC1;NUP54;NUP98;UQCRC2;TP53;NUP58;PFN2;NDUFB9;RAB1A;VCP;NDUFB8;SEH1L;TOMM40;NDUFB7;UQCRB;NDUFB4;ITPR3;COX5B;COX5A;PSMA7;UQCRH;ATP5MC1;PSMB7;NXF1;ATP5F1A;PSMB5;PSMB2;PSMB3;PSMB1;NUP88;NUP43;CYC1;BID;HNRNPA1;RAE1;NXF5;ATP5PF;HNRNPA3;NDUFA7;ATP5PD;ATP5PB;FUS;NDUFA4;COX6C;PSMC4;UQCRQ;VAPB;CHMP2B;ATG2A;BAX;NUP35;BCL2L1
Coronavirus disease	53/232	9.524254846978007E-9	5.924086514820321E-7	0	0	2.6810698068278045	49.517815438818076	NRP1;RPL30;RPL3;RPL31;RPLP0;RPL8;RPL10A;RPL9;RPS4X;C4A;RPL7A;RPL18A;RPS19;RPS18;IKBKG;RPS11;RPS10;JAK1;FGB;FGA;RPL21;RPS5;RPS6;FGG;PRKCA;RPS3A;F2;ADAM17;RPL37A;RPL24;RPL27;RPL26;MASP1;IL6ST;RPL28;CFB;RPL12;RPL11;RPL36A;C2;C3;C5;RPS15A;RPL14;RPL13;RPL17;JUN;EIF2AK2;RPL35A;ISG15;MAVS;RPL27A;RPS23
Complement and coagulation cascades	27/85	3.511384785214348E-8	1.820067780336104E-6	0	0	4.188486705442459	71.8939931813546	SERPINA1;CFH;SERPINC1;PROS1;SERPINE1;PLG;TFPI;CLU;KNG1;SERPINA5;C2;C3;C4A;C5;A2M;FGB;FGA;F10;SERPIND1;FGG;SERPINF2;F2;F5;SERPING1;MASP1;CD46;CFB
Cholesterol metabolism	19/50	1.54039940515838E-7	5.9078882663469415E-6	0	0	5.500806451612903	86.28594657136064	LRP1;SORT1;APOA2;APOA1;APOC3;LRP2;LIPC;NCEH1;SOAT1;NPC2;VAPB;APOH;APOC1;VDAC3;VDAC2;VDAC1;APOE;APOB;PLTP
Huntington disease	61/306	1.595683715040708E-7	5.9078882663469415E-6	0	0	2.2553125846865814	35.297431191539935	HIP1;CLTA;AP2A1;AP2A2;COX7C;PSMD9;CREB3L2;UQCRFS1;AP2M1;GPX7;SDHB;PSMA5;PSMA6;COX7A2L;PLCB3;PSMA3;PSMA4;CREB1;PSMA1;VDAC3;PPIF;NDUFS3;TFAM;VDAC2;ULK1;VDAC1;UQCRC2;PLCB1;TP53;SLC25A6;NDUFB9;NDUFB8;NDUFB7;UQCRB;NDUFB4;ITPR1;NRF1;COX5B;COX5A;PSMA7;UQCRH;ATP5MC1;PSMB7;ATP5F1A;PSMB5;PSMB2;PSMB3;PSMB1;CYC1;POLR2K;ATP5PF;NDUFA7;ATP5PD;ATP5PB;NDUFA4;AP2B1;COX6C;PSMC4;UQCRQ;ATG2A;BAX
Spinocerebellar ataxia	36/143	1.7441740918145565E-7	5.9078882663469415E-6	0	0	3.0326183777058264	47.193044664878876	GTF2B;ITPR1;ITPR2;ITPR3;RBPJ;PSMA7;PSMD9;PSMB7;PSMB5;RELN;PSMB2;PSMB3;AKT2;PSMB1;CIC;NOP56;PRKCA;PUM1;PUM2;PSMA5;AFG3L2;PSMA6;PLCB3;PSMA3;PSMA4;PSMA1;PSMC4;PPIF;VDAC3;ATG2A;VDAC2;ULK1;VDAC1;ATXN10;PLCB1;SLC25A6
Prion disease	56/273	1.899642529372007E-7	5.9078882663469415E-6	0	0	2.3353326869669533	36.142612681225536	ATF2;COX7C;PSMD9;PPP3CC;CREB3L2;UQCRFS1;RAC1;CYBA;SDHB;PSMA5;PSMA6;COX7A2L;PSMA3;PSMA4;CREB1;PSMA1;VDAC3;PPIF;NDUFS3;VDAC2;VDAC1;UQCRC2;SLC25A6;NDUFB9;NDUFB8;NDUFB7;UQCRB;ATF6B;NDUFB4;ITPR1;ITPR2;ITPR3;COX5B;COX5A;PSMA7;UQCRH;ATP5MC1;PSMB7;C5;ATP5F1A;PSMB5;PSMB2;PSMB3;PSMB1;CYC1;ATP5PF;NDUFA7;ATP5PD;ATP5PB;NDUFA4;CAV1;HSPA6;COX6C;PSMC4;UQCRQ;BAX
