Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Metabolism Homo sapiens R-HSA-1430728	359/1908	2.8173867897989244E-34	3.7076810153753845E-31	0	0	2.2941687991475264	177.22931935209678	PANK2;RPL30;PANK3;AHCYL1;RPL3;RPL31;ECI2;GDE1;NUDT5;EPRS;ENO2;RPL8;GBA2;RPL9;PSMD9;NSDHL;LIPC;RPS19;RPL18A;FLAD1;RPS18;PPAT;NAMPT;CPNE1;FDXR;CPNE3;PIP4K2B;PRSS3;RPS11;RPS10;PDK1;PDHX;ACOT8;RPL21;SECISBP2;SACM1L;OMD;TALDO1;PRKCA;ACSL4;ASRGL1;PISD;NUP93;MTAP;POR;RBP4;COX7A2L;SCO1;RBP2;PRKAR1B;SCO2;RBP1;PSME1;SUCLG2;PSME2;RPL24;SUCLG1;RPL27;NUP98;UQCRC2;RPL26;RPL28;MMADHC;LIPT2;CDS1;SEH1L;MTMR3;SDC4;SLC35D1;SDC2;MGST3;PTDSS2;LDHA;PTDSS1;LARS;PTPMT1;NEU1;ST3GAL6;NUP88;ASL;LTA4H;APOE;APOB;DECR2;A2M;ARSD;HMOX2;ARSB;SLC19A1;DECR1;PCK2;CHKA;CYP4F3;PYCR2;DERA;GLUD1;GLUD2;NCEH1;QARS;NDUFAF4;PAH;RPL27A;OGDH;SDC1;NDUFAF1;CALM1;LGMN;RPS23;CDS2;GPI;ARF1;ACY1;MTMR14;GBE1;RPLP0;QPRT;ADK;CROT;PYGL;ECSIT;COX7C;GYS1;MCEE;ARV1;IMPA1;IMPA2;NNT;RARS;DLAT;AASS;VKORC1;ELOVL1;TPI1;GSTO1;ARG1;ELOVL2;PGAM1;NME2;NME4;PTGR1;SUMF1;NME1;HADHB;GCHFR;PSMA5;MED22;HADHA;PSMA6;ITPKC;PSMA3;PLCB3;PSMA4;PSMA1;AGPS;ITPKA;ALDOC;TKT;PLCB1;ALDOA;UMPS;MGLL;CD44;FH;ECHS1;AHCY;GSTP1;RPL12;RPL11;DLST;HSD17B4;GDPD3;COX5B;COX5A;PAPSS2;PTS;PSMA7;PSMB7;RPS15A;PSMB5;PSMB2;PDZD11;PSMB3;PSMB1;GPC3;RPL14;RPL13;CKB;GC;RAE1;GPC6;RPL17;AOC1;CKMT1A;GLYCTK;AGL;COX6C;GRHL1;AGT;AGMAT;FABP1;LYRM4;FABP5;AADAC;PSMC4;LPCAT4;ETNK1;MARS;CHPF;GDA;CPOX;RPL10A;LCLAT1;CNDP2;FADS2;NUDT19;CHP1;NUDT15;ACAA1;GYG1;PSPH;PHYH;PCYT2;DGAT1;HGD;RPS5;RPS6;PIPOX;PGD;SDHB;ACLY;PLA2G16;PHOSPHO1;GPD2;MAPKAPK2;SMS;PSMD10;COX19;PFKFB3;UQCRB;INSIG1;AK2;ITPR1;ITPR2;ITPR3;NRF1;AK6;ADIPOR1;UQCRH;ACAT1;PMVK;ESD;PSAP;PGK1;THEM4;HACL1;KDSR;CYC1;PLTP;ESRRA;DARS;FDPS;CAV1;IDH1;PHKB;COQ7;ACSF3;COQ3;BMP1;CPS1;UQCRQ;GNB2;GNAS;ACO2;PI4KB;DHCR7;COX20;GALK1;ADPGK;PIK3C2A;RPS4X;RPL7A;NAPRT;CA4;DBT;DSE;ME1;PGM2;UQCRFS1;ABCD1;PGM1;HIBCH;IDH3A;CERS5;HSP90AA1;CERS6;HMGCS1;GGPS1;CHPF2;DCXR;CAD;BCKDHB;APOA2;APOA1;RPS3A;LMBRD1;PKM;SLC25A17;PCCA;ACOX2;DDAH1;EHHADH;ALDH1A1;RPL37A;NDUFS3;NUP54;ACOX3;BCAT1;GAPDH;TNFRSF21;SLC25A6;AGPAT5;NDUFB9;NDUFB8;NDUFB7;LRP1;NDUFB4;GMPR2;ETFDH;RPL36A;LRP2;HMGCR;MAT2B;AGPAT1;LRP8;LMF2;LMF1;TTR;UGP2;GNA11;NUP43;NDUFA7;RRM2;MMAA;IDH3G;NDUFA4;B3GAT3;CYP51A1;APOC3;RPL35A;DDHD1;SUOX;DHODH;PC;PSAT1;VAPB;IMPDH1;SCD;IMPDH2;NUP35
Metabolism of proteins Homo sapiens R-HSA-392499	219/1074	2.826764977099434E-25	1.8600113549314275E-22	0	0	2.4370331384015596	137.75450298001107	SPON2;APP;RPL30;RPL3;RPL31;UBE2L6;RPL8;ZDHHC2;RPL9;HERC2;TFG;RPS19;RPL18A;RPS18;FBXO4;DAG1;HIST3H2BB;SEC62;RPS11;RPS10;TSPYL2;ST6GAL1;ALG9;RPL21;MUCL1;ALG5;ALG2;MOGS;ALG1;ANK1;NUP93;RPL24;PREB;RPL27;VDAC1;NUP98;RPL26;TP53;RPL28;ATF3;TSTA3;SPTBN5;SEH1L;LMAN2L;RPN1;GATA6;GRPEL1;NEU1;LDHD;SSR1;ST3GAL6;NUP88;ARSD;ARSB;SPTBN1;EDEM1;IGF2;CCT6A;HIST1H4A;EIF5;HNRNPK;RPL27A;HYOU1;ITM2B;RPS23;ARF1;TRAM1;SERPINA1;RPLP0;CTSZ;BRCA1;PIGW;PIGV;HERPUD1;CTSH;GNPNAT1;TMED2;MUC15;NANS;SPTAN1;CTSC;CCT3;RING1;SSR4;PARP1;SSR3;TIMM21;F2;SUMF1;F5;PIGA;CANX;TCP1;PIGK;PABPC1;PIGG;PCNA;TOMM40;RPL12;TIMM9;RPL11;TIMM13;TIMM10;CST3;LMAN1;SAMM50;RPS15A;RPL14;SLC17A5;STX5;RPL13;CCT8;CCT7;RAE1;RPL17;CCT5;CCT4;GSN;F10;MTX1;AGT;SEC23IP;SPCS2;CTNNB1;HDGF;TOMM5;SRP19;PROS1;APEH;SRP14;RPL10A;TOMM20;GALNT10;TOMM22;CHCHD4;CHCHD2;FPGT;PMPCA;PDIA3;RPS5;RPS6;ALG14;ALG11;PIAS2;PIAS1;DPM3;DNAJB11;COX19;TMED10;SEL1L;TIMM50;CYC1;ANKRD28;DNAJC19;HSPA9;UBE2I;GFPT2;DOLK;TIMM44;TRAPPC9;TBCA;GNB2;UBA2;CPE;ACO2;TGFBI;SAE1;WRAP53;POMT2;PRKCSH;GMPPB;RPS4X;RPL7A;SUMO3;PPP6R3;SUMO2;TIMM17A;MAN1A1;EIF5A;FGA;DHPS;ATP6AP2;H2AFX;APOA1;RPS3A;RANGAP1;CKAP4;EEF1G;DNAJC3;TRAPPC6B;RPL37A;ETF1;NUP54;PFDN2;SEC22B;SLC25A6;LTF;RAB1A;RPL36A;FURIN;PLG;AURKB;ADD1;RNF2;HSPD1;TTR;EIF4H;DNAJB9;NUP43;EIF4E;SEC11C;NOP56;TIMM8B;SLC35A1;IDH3G;GALNT1;CCDC59;RPL35A;NUP35
Infectious disease Homo sapiens R-HSA-5663205	96/348	1.3890074678114145E-20	6.093112758799405E-18	0	0	3.5121709630289972	160.5873877798829	RPL30;ARF1;RPL3;HSP90AB1;RPL31;GTF2B;RPLP0;CLTA;AP2A1;RPL8;RPL10A;RPL9;AP2A2;RPS4X;PSMD9;RPL7A;RPS19;RPL18A;RPS18;RCC1;BANF1;RAC1;DLAT;RPS11;KPNA2;RPS10;AP2M1;KPNA1;HSP90AA1;RPL21;RPS5;RPS6;AP1B1;VPS37C;RPS3A;HLA-A;RANGAP1;NUP93;PSMA5;DNAJC3;PSMA6;PSMA3;PSMA4;PSMA1;CANX;RPL37A;PSME1;RPL24;PSME2;CHMP4B;RPL27;NUP54;NUP98;RPL26;RPL28;CHMP7;LTF;SLC25A6;PSMD10;GTF2A1;GTF2A2;SEH1L;RNMT;RPL12;RPL11;VPS4A;RPL36A;FURIN;PSMA7;PSMB7;RPS15A;PSMB5;PSMB2;PSMB3;SV2A;PSMB1;RPL14;RPL13;ATP6V1H;NUP88;NUP43;RPL17;RAE1;POLR2K;EIF2AK2;RPL35A;ISG15;AP2B1;PSMC4;RPL27A;CHMP2B;CHMP2A;NUP35;TAF5;CALM1;RPS23
Disease Homo sapiens R-HSA-1643685	153/725	2.7748618790894057E-19	9.129295582204145E-17	0	0	2.4955000786994357	106.62901452720683	KLB;SPON2;RPL30;RPL3;RPL31;GTF2B;RBPJ;RPL8;RPL10A;RPL9;PSMD9;RPS19;RPL18A;RPS18;AKT2;FDXR;TRIM24;DAG1;RCC1;BANF1;KPNA2;RPS11;GYG1;RPS10;AP2M1;KPNA1;RPL21;MUCL1;RPS5;RPS6;OMD;AP1B1;ADAM10;FRS2;HLA-A;DKK1;NUP93;RBP4;ADAM17;CDC37;RBP1;PSME1;RPL24;PSME2;CHMP4B;RPL27;NUP98;RPL26;RPL28;MMADHC;PSMD10;VCP;SEH1L;SDC4;SDC2;SEL1L;CUL1;ATP6V1H;NUP88;SMAD4;CPSF6;IDH1;EIF2AK2;ISG15;ERLIN2;NFKB2;RPL27A;CHMP2B;CHMP2A;SDC1;GRB2;CALM1;FGFR4;FGFR2;RPS23;ARF1;HSP90AB1;RPLP0;CLTA;AP2A1;AP2A2;RPS4X;RPL7A;GYS1;HEY2;IKBKG;RAC1;DLAT;MUC15;HSP90AA1;VPS37C;GAB1;PPP2R5A;RPS3A;PPP2R5C;RANGAP1;TGFBR2;PSMA5;DNAJC3;PSMA6;PSMA3;PSMA4;CREB1;PSMA1;PCCA;RPL37A;CANX;NUP54;CHMP7;SLC25A6;LTF;GTF2A1;GTF2A2;RNMT;RPL12;RPL11;VPS4A;RPL36A;LRP5;FURIN;PSMA7;LRP6;PSMB7;NRAS;RPS15A;PSMB5;TTR;PSMB2;ERBB3;PSMB3;SV2A;PSMB1;ERBB2;RPL14;GPC3;RPL13;NUP43;RPL17;GPC6;RAE1;POLR2K;MMAA;CCDC59;RPL35A;AP2B1;FKBP1A;PC;PSMC4;RPS6KB2;CTNNB1;NUP35;KRAS;TAF5
Metabolism of amino acids and derivatives Homo sapiens R-HSA-71291	88/335	1.6724471098629348E-17	4.401880793159244E-15	0	0	3.271976299750292	126.39532770694343	RPL30;RPL3;RPL31;RPLP0;EPRS;RPL8;RPL10A;RPL9;CNDP2;RPS4X;PSMD9;RPL7A;RPS19;RPL18A;RPS18;RARS;DBT;DLAT;RPS11;RPS10;AASS;PSPH;HIBCH;PDHX;RPL21;HGD;ARG1;SECISBP2;RPS5;RPS6;BCKDHB;PIPOX;RPS3A;ASRGL1;PSMA5;PSMA6;MTAP;PSMA3;PSMA4;PSMA1;RPL37A;PSME1;SMS;RPL24;PSME2;RPL27;RPL26;BCAT1;RPL28;LIPT2;PSMD10;AHCY;RPL12;RPL11;RPL36A;DLST;PSMA7;PAPSS2;ACAT1;PSMB7;RPS15A;PSMB5;PSMB2;LARS;PSMB3;PSMB1;RPL14;RPL13;ASL;CKB;RPL17;DARS;CKMT1A;RPL35A;PYCR2;SUOX;AGMAT;GLUD1;GLUD2;QARS;CPS1;PSMC4;PSAT1;RPL27A;PAH;MARS;OGDH;RPS23
Major pathway of rRNA processing in the nucleolus Homo sapiens R-HSA-6791226	55/166	4.3053804717981876E-16	9.443134501477358E-14	0	0	4.508403515531825	159.5140608379378	RPL30;RPL3;DDX49;RPL31;RPLP0;RPL8;RPL10A;RPL9;WDR46;WDR43;RRP9;RPS4X;FBL;RPL7A;RPS19;RPL18A;RPS18;RPS11;RPS10;PELP1;UTP15;WDR36;RPL21;RPS5;RPS6;IMP4;RPS3A;UTP18;RPL37A;RPL24;RPL27;RPL26;RPL28;RPL12;RPL11;RPL36A;NOL6;RPS15A;PDCD11;PES1;BMS1;RPL14;RPL13;RPL17;DCAF13;NOP56;PNO1;WDR18;RPL35A;BOP1;TBL3;RPL27A;MPHOSPH10;TSR1;RPS23
Influenza Infection Homo sapiens R-HSA-168254	51/147	5.851034123015211E-16	1.0999944151268596E-13	0	0	4.827950330284553	169.33911738519652	RPL30;RPL3;RPL31;RPLP0;CLTA;RPL8;RPL10A;RPL9;RPS4X;RPL7A;RPS19;RPL18A;RPS18;KPNA2;RPS11;RPS10;KPNA1;HSP90AA1;RPL21;RPS5;RPS6;RPS3A;NUP93;DNAJC3;RPL37A;CANX;RPL24;RPL27;NUP54;NUP98;RPL26;RPL28;SLC25A6;SEH1L;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPL13;NUP88;NUP43;RPL17;RAE1;POLR2K;EIF2AK2;RPL35A;ISG15;RPL27A;NUP35;RPS23
rRNA processing Homo sapiens R-HSA-72312	57/180	1.2499555467839138E-15	2.0561768744595383E-13	0	0	4.21797071181721	144.74248429632073	RPL30;RPL3;DDX49;RPL31;RPLP0;THUMPD1;RPL8;RPL10A;RPL9;WDR46;WDR43;RRP9;RPS4X;FBL;RPL7A;RPS19;RPL18A;RPS18;RPS11;RPS10;PELP1;UTP15;WDR36;RPL21;RPS5;RPS6;IMP4;RPS3A;UTP18;RPL37A;RPL24;RPL27;RPL26;RPL28;RPL12;NOP2;RPL11;RPL36A;NOL6;RPS15A;PDCD11;PES1;BMS1;RPL14;RPL13;RPL17;DCAF13;NOP56;PNO1;WDR18;RPL35A;BOP1;TBL3;RPL27A;MPHOSPH10;TSR1;RPS23
SRP-dependent cotranslational protein targeting to membrane Homo sapiens R-HSA-1799339	42/107	1.4388333118842106E-15	2.1038940427106902E-13	0	0	5.855585385782654	200.11430153256526	SRP19;RPL30;TRAM1;RPL3;RPL31;RPL12;RPN1;RPLP0;RPL11;RPL36A;SRP14;RPL8;RPL10A;RPL9;RPS4X;RPL7A;RPS15A;RPS19;RPL18A;RPS18;RPL14;SSR1;RPL13;RPS11;RPS10;RPL17;SEC11C;RPL21;SSR4;RPS5;RPS6;SSR3;RPL35A;RPS3A;SPCS2;RPL27A;RPL37A;RPL24;RPL27;RPL26;RPL28;RPS23
Selenoamino acid metabolism Homo sapiens R-HSA-2408522	42/111	6.638820889619291E-15	8.736688290738986E-13	0	0	5.514899606342504	180.0385413271835	RPL30;RPL3;AHCY;RPL31;RPL12;RPLP0;RPL11;RPL36A;EPRS;RPL8;RPL10A;RPL9;PAPSS2;RPS4X;RPL7A;RPS15A;RPS19;RPL18A;RPS18;LARS;RARS;RPL14;RPL13;RPS11;RPS10;RPL17;DARS;RPL21;RPS5;SECISBP2;RPS6;RPL35A;RPS3A;QARS;RPL27A;MARS;RPL37A;RPL24;RPL27;RPL26;RPL28;RPS23
