Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ribosome	33/158	5.024123244126093E-22	1.2309101948108928E-19	0	0	11.668318906605922	572.2449428464431	RPL4;MRPS15;RPL32;RPL34;RPLP1;MRPL16;RPL36A;MRPL15;RPL10A;RPL6;MRPL32;MRPL33;RPS15;RPL7A;RPL36;RPL14;RPL35;RPL13;RPL37;RPL15;RPL18;RPL19;RPL21;RPS8;RPL13A;RPL23A;MRPL24;RPL24;RPL27;RPL29;RPL28;RSL24D1;RPS24
Coronavirus disease	33/232	1.0833784820898626E-16	1.3271386405600816E-14	0	0	7.301393070134271	268.4085339061008	RPL4;RPL32;RPL34;RPLP1;RPL36A;C8B;RPL10A;RPL6;RPS15;C4A;RPL7A;C5;RPL36;RPL14;RPL35;RPL13;RPL37;RPL15;RPL18;RPL19;RPL21;RPS8;STAT2;RPL13A;RPL23A;IRAK4;IRF3;RPL24;RPL27;RPL29;RPL28;RSL24D1;RPS24
Glycine, serine and threonine metabolism	10/40	2.1901296866788714E-8	1.788605910787745E-6	0	0	14.067821067821068	248.11022096121002	GRHPR;PSAT1;GLYCTK;CHDH;CTH;CBSL;SARDH;PHGDH;AGXT;PSPH
Fructose and mannose metabolism	7/33	9.788960014141762E-6	5.995738008661829E-4	0	0	11.291480562448305	130.23881993404282	GMPPB;TKFC;MPI;SORD;AKR1B1;PFKM;HK2
Cysteine and methionine metabolism	8/50	2.0390741183137973E-5	9.991463179737606E-4	0	0	7.999178981937603	86.39456964190141	GCLC;MDH1;PSAT1;GSS;CTH;CBSL;PHGDH;BCAT1
Glyoxylate and dicarboxylate metabolism	5/30	6.271460193053251E-4	0.021481485128393225	0	0	8.352462526766596	61.59382466376562	GRHPR;MDH1;GLYCTK;ACO1;AGXT
Riboflavin metabolism	3/8	6.695238747960458E-4	0.021481485128393225	0	0	24.976119402985073	182.54905138092414	FLAD1;BLVRB;ENPP3
Peroxisome	8/82	7.01436249090391E-4	0.021481485128393225	0	0	4.532618825722274	32.91760275761468	GNPAT;MVK;EPHX2;PMVK;ACSL4;HACL1;AGXT;DECR2
Spliceosome	11/150	8.844478577632862E-4	0.024076636128000567	0	0	3.328375910984878	23.40030326649232	RBM25;SF3B2;DDX46;HNRNPU;ACIN1;SRSF5;WBP11;SNRPC;U2SURP;SNRPB;HSPA1A
Proximal tubule bicarbonate reclamation	4/23	0.0018991232522761162	0.044607757549798885	0	0	8.775978407557355	54.99346590344345	MDH1;CA4;SLC38A3;PCK2
Pyrimidine metabolism	6/56	0.0020027972777460724	0.044607757549798885	0	0	5.015793991416309	31.164183575972785	DTYMK;CTPS2;ENPP3;UPP1;UMPS;DHODH
Legionellosis	6/57	0.002194654276170046	0.044807524805138436	0	0	4.917192628124211	30.101729315369248	EEF1A1;CASP7;CASP8;APAF1;NFKB2;HSPA1A
Ferroptosis	5/41	0.002666541517641677	0.05025405167863161	0	0	5.797049726385914	34.35895696421595	GCLC;GSS;HMOX1;ACSL4;CP
Pyruvate metabolism	5/47	0.004863679290675509	0.07675861841168825	0	0	4.967370245742837	26.456015590660286	GRHPR;MDH1;GLO1;ACYP2;PCK2
Pentose phosphate pathway	4/30	0.005161119557071446	0.07675861841168825	0	0	6.410913872452334	33.76373024923548	G6PD;GLYCTK;PGLS;PFKM
Lipid and atherosclerosis	12/215	0.005212673264567971	0.07675861841168825	0	0	2.483401156564575	13.05440161347491	PPP3CA;CASP7;HSP90AA1;HSP90AB1;CASP8;APAF1;IRF3;HSPA4;CYBA;IRAK4;VAV2;HSPA1A
Amino sugar and nucleotide sugar metabolism	5/48	0.005326108216321226	0.07675861841168825	0	0	4.851601015885663	25.398783728953784	GMPPB;UGP2;GNPDA1;MPI;HK2
Galactose metabolism	4/31	0.005817080114417667	0.07917692377957379	0	0	6.173156062044951	31.77296782833325	UGP2;AKR1B1;PFKM;HK2
Protein processing in endoplasmic reticulum	10/171	0.007544234704556921	0.09589454459897812	0	0	2.603721330429405	12.724312255264534	DNAJC3;DNAJB2;ERO1B;HSP90AA1;HSPH1;HSP90AB1;ERP29;RRBP1;PDIA4;HSPA1A
Vitamin B6 metabolism	2/6	0.007828126089712499	0.09589454459897812	0	0	20.770212765957446	100.73619909675153	PSAT1;PDXP
Starch and sucrose metabolism	4/36	0.009930035076789384	0.11585040922920947	0	0	5.207264957264957	24.01690196879633	GYS1;UGP2;ENPP3;HK2
NOD-like receptor signaling pathway	10/181	0.011008324414456684	0.11765122072430573	0	0	2.4501911344016607	11.048165487021402	HSP90AA1;HSP90AB1;CASP8;IRF3;STAT2;NEK7;CYBA;IRAK4;SUGT1;GBP1
One carbon pool by folate	3/20	0.011044808476159313	0.11765122072430573	0	0	7.341402232534805	33.07885187618361	ATIC;MTHFD1;GART
Arginine biosynthesis	3/22	0.014410698981294951	0.14122485001669052	0	0	6.567949725058916	27.846690544326467	ARG1;NAGS;ASS1
Terpenoid backbone biosynthesis	3/22	0.014410698981294951	0.14122485001669052	0	0	6.567949725058916	27.846690544326467	MVK;PMVK;MVD
Porphyrin and chlorophyll metabolism	4/43	0.01829529208018193	0.17239794460171437	0	0	4.271093578785886	17.089121702331116	FECH;HMOX1;BLVRB;CP
Folate biosynthesis	3/26	0.022702605115682187	0.20600512049415318	0	0	5.424585148790211	20.533549794475903	CBR1;SPR;AKR1B1
