""	"UNINF_1"	"UNINF_2"	"UNINF_3"	"H24PI_1"	"H24PI_2"	"H24PI_3"	"H48PI_1"	"H48PI_2"	"H48PI_3"	"H72PI_1"	"H72PI_2"	"H72PI_3"
"Q13813"	17.4142315126846	17.3463174434947	17.4142315126846	17.4142315126846	17.4142315126846	17.3463174434947	17.4142315126846	17.4142315126846	17.4142315126846	17.3463174434947	17.4142315126846	17.4142315126846
"Q09666"	17.2436061256534	17.2120347761372	17.2120347761372	17.2436061256534	17.2913594744834	17.4142315126846	17.2913594744834	17.2913594744834	17.3463174434947	17.0548294273793	17.2913594744834	17.2913594744834
"Q01082"	17.2120347761372	16.9737735551757	17.2436061256534	17.2120347761372	17.2120347761372	17.2120347761372	17.0196323723372	17.0548294273793	17.1338373457472	16.9417870358329	17.0802606527998	17.0802606527998
"P35579"	17.3463174434947	17.4142315126846	17.3463174434947	17.3463174434947	17.3463174434947	17.2913594744834	17.2436061256534	17.2436061256534	17.2913594744834	17.1338373457472	17.2436061256534	17.2120347761372
"Q14204"	16.7583188778617	16.6754595623715	17.0802606527998	16.8848872332681	16.8848872332681	16.8848872332681	17.0802606527998	17.0802606527998	17.0196323723372	17.2436061256534	17.1338373457472	17.1338373457472
"P49327"	16.8848872332681	16.8848872332681	17.0548294273793	16.9155566981267	16.9737735551757	16.8044204029394	17.3463174434947	17.3463174434947	17.2436061256534	17.4142315126846	17.3463174434947	17.3463174434947
"Q9Y490"	16.6754595623715	16.5666521346578	16.4985049029642	16.6754595623715	16.5666521346578	16.5169138509883	16.4781934789727	16.4377229776058	16.4781934789727	16.3557068901929	16.4985049029642	16.5169138509883
"Q15149"	16.4781934789727	16.3747312518449	16.4377229776058	16.4985049029642	16.4377229776058	16.6227838547315	16.4985049029642	16.5169138509883	16.5169138509883	16.4377229776058	16.5666521346578	16.5666521346578
"P78527"	16.2118329044054	16.042432038966	16.7583188778617	16.3747312518449	16.3991149120622	16.2118329044054	16.8044204029394	16.8555227518626	16.6227838547315	16.8044204029394	16.7583188778617	16.7583188778617
"Q9P2E9"	17.0802606527998	17.1338373457472	16.8555227518626	17.0196323723372	16.8555227518626	17.1338373457472	16.7583188778617	16.8044204029394	16.8555227518626	16.7583188778617	16.9155566981267	16.9155566981267
"O75369"	16.4985049029642	16.4781934789727	16.4781934789727	16.4781934789727	16.4781934789727	16.4985049029642	16.3991149120622	16.3991149120622	16.4985049029642	16.2973185186955	16.3991149120622	16.3747312518449
"P35580"	15.9710359970205	15.870959966066	15.9354487742315	15.9354487742315	15.9354487742315	16.0660454466843	15.9503436943167	15.9503436943167	15.9503436943167	15.8840227759369	16.0254337901297	15.995700838592
"P21333"	16.6227838547315	16.4985049029642	16.5169138509883	16.5666521346578	16.6227838547315	16.7583188778617	16.2788613792472	16.2788613792472	16.3557068901929	16.0660454466843	16.1878453497081	16.1516928833861
"P10809"	17.1338373457472	17.0802606527998	16.9737735551757	17.1338373457472	17.0802606527998	17.0802606527998	16.9155566981267	16.8848872332681	16.9737735551757	16.9737735551757	16.9417870358329	16.9417870358329
"P04114"	15.7025774045968	15.5400330857152	15.9710359970205	15.7906352006932	15.7906352006932	15.6182027063158	16.0868551480103	16.0868551480103	15.995700838592	16.3991149120622	16.2788613792472	16.2354839524601
"Q00610"	15.995700838592	15.8534306933818	16.3991149120622	16.2354839524601	16.2354839524601	15.995700838592	16.5169138509883	16.4985049029642	16.2788613792472	16.4985049029642	16.3291408877304	16.3291408877304
"P55072"	16.3991149120622	16.4377229776058	16.3291408877304	16.3557068901929	16.3557068901929	16.3291408877304	16.2973185186955	16.2118329044054	16.3291408877304	16.3747312518449	16.2973185186955	16.2788613792472
"P11142"	17.2913594744834	17.2913594744834	17.2913594744834	17.2913594744834	17.2436061256534	17.2436061256534	17.2120347761372	17.1338373457472	17.2120347761372	16.8848872332681	16.9737735551757	17.0196323723372
"P08238"	16.1516928833861	16.2354839524601	16.1516928833861	16.1255423010086	16.2788613792472	15.8840227759369	16.1516928833861	16.1255423010086	16.1516928833861	16.1255423010086	16.0868551480103	16.0660454466843
"O43707"	16.3747312518449	16.3291408877304	16.3747312518449	16.3291408877304	16.3747312518449	16.3557068901929	16.4377229776058	16.4781934789727	16.3747312518449	16.4781934789727	16.4377229776058	16.4781934789727
"P04406"	16.9737735551757	17.0548294273793	17.0196323723372	16.9737735551757	17.0548294273793	16.9417870358329	17.0548294273793	17.0196323723372	17.0548294273793	17.2913594744834	17.2120347761372	17.2436061256534
"P63261"	17.0548294273793	17.2436061256534	16.9417870358329	17.0548294273793	17.1338373457472	16.9737735551757	16.9737735551757	16.9737735551757	16.9417870358329	16.9155566981267	16.8044204029394	16.8848872332681
"P05783"	17.0196323723372	17.0196323723372	16.9155566981267	17.0802606527998	16.9417870358329	17.0548294273793	16.6754595623715	16.6754595623715	16.6754595623715	16.6227838547315	16.6227838547315	16.6227838547315
"P06733"	16.8044204029394	16.9417870358329	16.8044204029394	16.8044204029394	16.7583188778617	16.5666521346578	16.9417870358329	16.9155566981267	16.9155566981267	17.2120347761372	17.0196323723372	17.0548294273793
"P07900"	16.9417870358329	16.9155566981267	17.1338373457472	16.9417870358329	17.0196323723372	17.0196323723372	17.1338373457472	17.2120347761372	17.0802606527998	17.0802606527998	17.0548294273793	16.9737735551757
"P07437"	16.9155566981267	16.8555227518626	16.8848872332681	16.8555227518626	16.9155566981267	16.6754595623715	16.8555227518626	16.7583188778617	16.8848872332681	17.0196323723372	16.8848872332681	16.8555227518626
"P46013"	16.2354839524601	16.1878453497081	16.0660454466843	16.0868551480103	16.0868551480103	16.3747312518449	16.042432038966	16.042432038966	16.0868551480103	15.6799513204407	15.8331643308573	15.8195078301202
"P14618"	16.5666521346578	16.5169138509883	16.6754595623715	16.7098621553345	16.7098621553345	16.4781934789727	16.7098621553345	16.7098621553345	16.7583188778617	16.7098621553345	16.6754595623715	16.7098621553345
"P14625"	16.5169138509883	16.7098621553345	16.7098621553345	16.7583188778617	16.8044204029394	16.7098621553345	16.8848872332681	16.9417870358329	16.8044204029394	16.8555227518626	16.8555227518626	16.8044204029394
"P11021"	16.8555227518626	16.7583188778617	16.5666521346578	16.5169138509883	16.6754595623715	16.8555227518626	16.6227838547315	16.6227838547315	16.7098621553345	16.6754595623715	16.7098621553345	16.6754595623715
"P68371"	14.2767304315726	14.1254071057168	14.0868972830995	14.1327685865371	14.2075670626226	13.9922880276731	14.1949718651781	14.0709291711735	14.1059923874774	14.3544989983515	14.196970613883	14.179542867965
"Q13885"	13.3235088863665	13.1442188794665	13.1571423852716	13.1654982850277	13.2030856737532	13.0265855234952	13.2921925388557	13.2632972249875	13.4223856516521	13.4865104281031	13.4246535858036	13.2921925388557
